Symbol,Name,Exchange,"1Y Return%","3Y Return%",Last,"20D Rel Str","20D %R"
PCOM,"Points Intl Ltd",NASDAQ,104.48%,62.87%,17.11,63.10%,51.70%
PCSB,"Pcsb Financial Corp",NASDAQ,14.19%,19.26%,19.75,44.43%,74.75%
PCYO,"Pure Cycle Corp",NASDAQ,40.82%,128.98%,10.45,57.76%,28.21%
PDEX,"Pro-Dex Inc New",NASDAQ,13.97%,183.71%,6.7,54.74%,13.51%
PES,"Pioneer Energy Services Corp",NYSE,112.24%,27.76%,5.25,50.68%,51.72%
PESI,"Perma-Fix Envir",NASDAQ,16.44%,14.86%,4.3,44.74%,55.56%
PFBI,"Premier Finl Bncp",NASDAQ,20.29%,55.83%,19.48,56.18%,59.34%
PFIE,"Profire Energy",NASDAQ,151.49%,200.89%,3.38,38.14%,87.89%
PMBC,"Pacific Mercantile",NASDAQ,13.95%,30.84%,9.85,51.20%,33.33%
PNBK,"Patriot Natl Bncp",NASDAQ,21.47%,20.00%,19.8,49.83%,73.68%
PPIH,"Perma-Pipe International Holdings Inc",NASDAQ,20.78%,54.74%,9.2,45.13%,63.64%
PRCP,"Perceptron Inc",NASDAQ,54.33%,14.38%,11.79,65.30%,20.40%
PRGX,"Prgx Global Inc",NASDAQ,52.00%,151.32%,9.5,50.09%,32.00%
PRMW,"Primo Water Corporat",NASDAQ,36.41%,192.83%,17.72,60.78%,49.03%
PRPH,"Prophase Labs Inc",NASDAQ,46.38%,116.43%,2.98,45.36%,84.31%
QNST,"Quinstreet Inc",NASDAQ,255.16%,118.94%,14.11,54.85%,37.01%
QSII,"Quality Systems Inc",NASDAQ,15.14%,18.31%,19.53,57.65%,87.22%
QUOT,"Quotient Technology Inc",NYSE,21.89%,32.46%,14.4,60.94%,11.43%
RCM,"R1 Rcm Inc",NASDAQ,146.91%,243.36%,8.81,54.14%,47.76%
RDNT,"Radnet Inc",NASDAQ,88.82%,119.75%,14.3,51.83%,80.00%
RECN,"Resources Connect",NASDAQ,20.00%,13.70%,17.15,50.76%,56.00%
REGI,"Renewable Energy",NASDAQ,37.14%,53.56%,17.15,52.23%,74.29%
RELL,"Richardson Electrncs",NASDAQ,58.50%,23.03%,9.75,60.00%,16.87%
RF,"Regions Financial Corp",NYSE,21.32%,72.94%,18.06,48.26%,52.29%
RFIL,"RF Industries Ltd",NASDAQ,363.89%,91.95%,9.35,72.75%,0.00%
RFL,"Rafael Holdings Inc",AMEX,90.41%,90.41%,9.59,57.84%,18.24%
RFP,"Resolute Forest Products Inc",NYSE,151.65%,21.16%,11.6,67.66%,6.38%
RGS,"Regis Corp",NYSE,72.90%,16.17%,17.63,58.40%,44.25%
RIOT,"Riot Blockchain Inc",NASDAQ,56.47%,78.69%,5.73,44.02%,60.48%
RLH,"Red Lion Hotels Corp",NYSE,73.10%,49.23%,12.35,62.49%,22.86%
RLJE,"Rlj Entertainment",NASDAQ,38.24%,282.11%,4.84,57.10%,54.64%
RNDB,"Randolph Bancorp Inc",NASDAQ,11.26%,36.18%,16.69,55.16%,66.09%
RST,"Rosetta Stone",NYSE,57.32%,124.17%,17.01,62.86%,11.41%
RUN,"Sunrun Inc",NASDAQ,112.46%,40.85%,15.16,63.58%,34.31%
RVSB,"Riverview Bancorp",NASDAQ,22.84%,105.21%,8.65,47.32%,72.58%
RYAM,"Rayonier Advanced Materials Inc",NYSE,21.52%,40.31%,18.52,56.97%,9.56%
RYI,"Ryerson Holding Corp",NYSE,25.27%,45.62%,11.65,48.92%,58.62%
SAMG,"Silvercrest Ast Cm A",NASDAQ,26.18%,36.62%,16.8,56.48%,48.00%
SBT,"Sterling Bancorp Inc. (Southfield Mi)",NASDAQ,10.28%,10.28%,13.27,43.16%,64.24%
SECO,"Secoo Holding ADR",NASDAQ,21.50%,21.50%,12.13,67.29%,7.61%
SEM,"Select Medical Holdings Corp",NYSE,18.58%,22.29%,19,56.05%,13.33%
SENS,"Senseonics Holdings",AMEX,90.52%,41.05%,3.95,48.36%,98.53%
SGMO,"Sangamo Therapeutics",NASDAQ,63.78%,52.11%,15.1,46.24%,64.10%
SHBI,"Shore Bancshares Inc",NASDAQ,15.99%,108.58%,19.55,54.66%,35.10%
SHSP,"Sharpspring Inc",NASDAQ,174.88%,81.82%,11.12,73.37%,31.36%
